Area,Year,1. Median,2. Median,3. Median,4. Median,5. Median,6. Median,7. Median,8. Median,9. Median,10. Median
TR22 (Balıkesir Çanakkale),2015,3613.96,6477.78,7833.98,9494.26,10984.74,12927.6,14752.74,18382.35,22644.58,37147.46
TR31 (İzmir),2015,4975.01,7958.05,10023.89,12020,14044.84,16094.44,18598.75,23110.52,29907.45,50381.25
TR32 (Aydın Denizli Muğla),2015,6014.86,7973.55,9505.63,10782.42,12623.65,14315.99,16569.36,19992.38,24151.77,37007.33
TR33 (Manisa Afyon Kütahya Uşak),2015,5742.33,7184.92,8322.75,9619.89,11320.15,13066.23,15338.84,17716.73,23003.32,39651.29
TR41 (Bursa Eskişehir Bilecik),2015,6225.48,8370.83,10165.71,11682.98,13546.67,15354.1,17877.95,21142.23,26112.96,43181.95
TR42 (Kocaeli Sakarya Düzce Bolu Yalova),2015,5827.51,8748.62,10709.95,12493.43,14273.33,16047.83,17742.93,21149.97,26172.88,38870.43
TR51 (Ankara),2015,6982.42,9184.2,11283.78,13340,15500,18380.15,21608.2,25826,35316.57,58922.73
TR52 (Konya Karaman),2015,4857.14,7026.14,8357.89,9885.72,11594.02,13225.62,15809.55,18303.1,23150.29,37874.6
TR61 (Antalya Isparta Burdur),2015,5023.35,7236.67,9469.64,10987.29,13012.33,15174.96,18414.63,22646.94,28327.27,45248.83
TR62 (Adana Mersin),2015,4117.9,5639.11,6991.43,8336.22,9590.6,11216.9,14156.02,18103.02,22830,40294.3
TR63 (Hatay Kahramanmaraş Osmaniye),2015,3336.64,4910.21,5997.63,7086.39,8357,9647,11477.08,14051.72,19344.62,32856.33
TR71 (Kırıkkale Aksaray Niğde Nevşehir Kırşehir),2015,4821.21,6918.1,8122.22,9729.03,10875.69,11747.28,13883.44,16035,20581.65,30554.76
TR72 (Kayseri Sivas Yozgat),2015,4147.8,6255.13,8183.14,9415.98,11021.94,12763.38,14532.82,18146.77,22474.28,36240.48
TR81 (Zonguldak Karabük Bartın),2015,5702,8755.43,10533.1,11849.62,13035,14649.64,16900.46,20247.29,25526.67,38196.81
TR82 (Kastamonu Çankırı Sinop),2015,4142.86,6939.39,8671.09,10112.86,11686.01,13670.49,15484.83,17198.09,20591.67,29766.66
TR83 (Samsun Tokat Çorum Amasya),2015,4285.71,5994.62,7287.1,8485.26,9912.09,11436.85,13145.06,16037.74,20531.6,35206.97
TR90 (Trabzon Ordu Giresun Rize Artvin Gümüşhane),2015,5427.21,7095.55,8997.18,10204.06,11548.73,12962.35,14937.86,17889.23,22146.05,37700
TRA1 (Erzurum Erzincan Bayburt),2015,3933.33,5664.22,6959.74,8250,9466.41,10995.28,12726.79,14823.66,19543.84,31442.25
TRA2 (Ağrı Kars Iğdır Ardahan),2015,2675,3952.09,4913.93,5970.25,7225.04,8374.25,10071.96,12593.61,16399.66,27888.89
TRB1 (Malatya Elazığ Bingöl Tunceli),2015,3763.28,5607.9,6740.13,7780.42,9036.82,11054.96,12355.56,14333.77,18361.85,31590.98
TRB2 (Van Muş Bitlis Hakkari),2015,3034.49,4015,4508.82,5304.78,5991.96,6756.39,7878.17,10054.73,13843.72,21702.22
TRC1 (Gaziantep Adıyaman Kilis),2015,4033.21,5573.71,6660.01,7651.79,8556.09,9355.38,11135.23,13312.13,16500,24445.25
TRC2 (Şanlıurfa Diyarbakır),2015,2164.26,2996.2,3594.85,4578.13,5238.1,6204.88,7670.51,9280.14,12678.01,21494.89
